Name the 7 OSI layers and give example protocols for layers 2, 3 and 4.	7 application<div>6 presentation</div><div>5 session</div><div>4 transport (TCP/UDP)</div><div>3 network (IP)</div><div>2 (data) link (Ethernet)</div><div>1 physical</div>
What is an interface and what travels over it?	It's something to connect on the same computer, between layers. SDUs travel over it: Service Data Units.
What's a SAP?	A Service Access Point is an API provided by a layer. For example the data link layer will provide an interface to the network layer, such that it can send messages through it. Conversely, the network layer provides an interface to the link layer such that it can receive messages from it.
What is a protocol used for?	Communicating within a layer. For example if layer 4 on the transmitting machine talks TCP, then the receiving machine's layer 4 will also have to talk TCP.
What is a PDU?	Protocol Data Unit: the protocol data, consisting of headers and payload. It operates within a layer.
What is added to an SDU when passing it to a lower layer?	Control information for the lower layer.
What is multiplexing in INR context?	Multiple data streams over a shared lower level. For example, the physical medium can send many IP addresses through it, and one IP address can receive multiple TCP connections, etc.
What is inverse (de)multiplexing?	When multiple lower layers are used for a single higher layer, for example two physical cables for a single TCP connection.<div><br /><div>Normal (de)multiplexing works the other way around: many TCP connections over one physical cable. Of course, with inverse (de)multiplexing it can still have multiple TCP connections, but a single TCP connection's packet is not guaranteed to be transmitted completely over a single cable.</div></div>
What is an address (in a network graph)?	A locator used in routing
What is an explicit network element in a network graph?	A node (not an edge)
What distinction is missing in Internet architecture?	The distinction between addresses and endpoints. An interface has an address, not an endpoint.
What is a bipartite graph?	A graph divided in two sections, where edges run between nodes in different sections, but edges never connect two nodes that are in the same section.
How to write this with only Layer 2 traffic?<div>(Host)---L3---(Network)---L3---(Host)</div>	(Host)---L2---(Network)---L2---[Bridge]---L2---(Network)---L2---(Host)
What is routing?	Delivering packets to an address, using hops in intermediate networks. It can be done on all layers, not only the network layer, for example ethernet frame switching is also routing.
What are two common routing techniques?	Table lookup of next hop, or forwarding port.
What is ILNP?	Identifier-Locator Network Protocol<div>Uses an I-LV (Identifier-Locator Vector) instead of IP address.</div><div>Can run over IPv6 by using the first 64 bits as locator and second 64 bits as identifier. Over v4 it uses the address as locator, and some option contains the 64-bit identifier.</div>
What is LISP?	Locator/Identifier Separation Protocol<div>Differentiates between an EID (Endpoint IDentifier) and RLOC (Routing LOCator). Packets go through a tunnel router which routes the RLOCs. EIDs are encapsulated within those packets. The mapping is maintained in a distributed database.</div>
What are principles of HIPv2?	It uses public keys as Host Identifier (HI) and always does a DH KEX (with puzzle to defeat DoS). It then builds an IPsec association between HIs (not between IP addresses).
What does the weak end-system model not do?	Discard datagrams whose destination does not correspond to the physical interface through which it is received.
Of which two parts does an IPv4 address comprise?	A network part and a host part (in that order).
What is 0b1100 in decimal?	12
What is 9 in binary?	1001
What is the difference between classful and classless routing?	Networks were initially divided in classes, where class A is any address starting with a binary zero; class B starts with 10; class C starts with 110, etc. Each class reduces the size of the networks within: class A contains /8 networks, class B contains /16 networks, and class C contains /24 networks.Classes D and E have no networks defined within.<div>Classless routing is the modern approach (modern, because it was proposed in 1993), which everyone has been using since the mid 90s, where this class system is just bullshit. If I want to have 1.1.0.0/16, that's just fine and it doesn't matter that it falls in class A and was historically a /8 network.</div>
What is the 0.0.0.0 address for?	"""Address unknown"". May only be used as a source address.<div><br /></div><div>Note that in practice, it's used for many more things. But don't tell Karst.</div>"
What kind of address has all the host bits set to zero?	The network identification
What value does the host part have in a broadcast address?	All bits are set to 1.
What is the 255.255.255.255 address?	The local (sub)net broadcast address.
"When are you ""on the Internet""?"	When you have a globally routeable/reachable IP address.
What is a packet?	A string of bits.
What is the issue with endpoints having no names?	When you are mobile and move between networks, you lose connectivity.
What is an IP address assigned to?	An interface (not the host itself).
What is the difference between the router and a host?	Hosts are on the edges and used for applications.<br />Router is in the 'middle', dedicated to connect hosts. Acting on layer 3.
Why is the internet resilient?	Because there are multiple paths between networks. Each node can reach another through different paths, so a single path can fail without disconnecting a network part.
What is the difference between an endpoint and an interface?	A host is the endpoint; an interface has an address
What kind of interface is the loopback interface?	A software interface. It refers to the machine itself. One could call it an anycast address because it goes to the nearest machine (which is yourself).
What is multicast used for?	Sending messages to a group, such as IPTV.
What is broadcast used for?	Sending a message to all nodes in a network, for example an air alarm.
What is anycast?	Send a message to the most nearby host with a given address.
What range is used for link-local dynamic autoconfiguration?	169.254.0.0/16
What is link-local dynamic autoconfiguration used for?	Connect to other nodes in the network when there is no router.
What are the local IP ranges and how many networks is each supposed to have according to classful routing?	10/8 with 1 network<div>172.16/12 with 16 networks</div><div>192.168/16 with 256 networks</div><div>169.254/16 with 1 network (exception)</div>
When do you use fragmentation?	When splitting a larger message into smaller packets. For example to meet the MTU requirement, or to not occupy the medium for a long time for a single message.
What is encapsulation for?	"""Wrapping of data in single unit."" For example TCP is encapsulated in IP, so that the TCP packet (and its payload) can be sent between IP addresses."
What is fragmentation?	Chopping up a piece of information into more pieces, because you want to send it over a link of lower capacity. Otherwise you occupy the medium for a while.
How many layers does the “Routing Tree” have for IPv4?	33: the empty set on top (that's where the extra layer comes from, on top of 32 bits IP addresses), and then towards the bottom a binary tree until we have the full 32 bits for an IPv4 address.
What is the best match when a router looks in its routing table?	"The longest match. For example if the OS3 router has a default route to SURFnet (for accessing the Internet) and a route for the internal network, and it gets a packet for ""145.100.102.146"", it will not use the default route (where the subnet length is zero, namely 0.0.0.0/0) but it will use its longer match, which will be something like ""145.100.102.0/24""."
What is IGMP for?	Internet Group Message Protocol. Used for multicast messages.
What does a router do when it cannot forward an IPv6 packet because it exceeds the MTU of the route it needs to take?	It will send an ICMPv6 message back to the source to report that fragmentation was needed but not available (since intermediate routers in v6 do not fragment; only the source fragments).
Why was 64:FF9B chosen?	"When added together, it is 0xFFFF (65535 in decimal). If you already had an IPv6 packet with an embedded IPv4 address and a computed checksum, one can add this 64:FF9B to the address without having to recompute the checksum. This is because of how the checksum works with ""one's compliment"" and whatever, don't need to know that."
What is 64:FF9B for?	Well-known prefix, used in the&nbsp;IPv6 tunneling protocol called 6to4.
What is SOCKS?	"A proxying protocol. It proxies ""sockets"", both IPv4 and IPv6, and UPD and TCP."
Why is 6to4 named 6to4?	6 islands translated to 4 (via tunneling)
What does 6to4 do?	"<div>6to4 performs three functions:</div><div>1. Assigns a block of IPv6 address space to any host or network that has a global IPv4 address.</div><div>2. Encapsulates IPv6 packets inside IPv4 packets for transmission over an IPv4 network using 6in4.</div><div>3. Routes traffic between 6to4 and ""native"" IPv6 networks.</div>"
What is 2002::/16 for?	For 6to4 addresses, e.g. 2002:c000:0204::/48 is for 192.0.2.4
What is a collision?	When two devices send during overlaping times; i.e. one device starts sending before the other device is done sending.
What three new fields does sublayer LLC introduce?	DSAP (Destination Service Access Point), SSAP (Source Service Access Point) and Control (1 or 2 control bytes)
Why is the minimum length of an ethernet frame 64 bytes?	<div>Summary: to prevent collisions when the frames are too small.</div><div><br /></div>Imagine host A and B both want to send a frame and they are quite far apart. If host A would send a frame of only 20 bytes and host B does the same, at exactly the same time, the data will only arrive at the other end *after* they are done sending. Therefore it will be impossible to sense that there was a collision. By requiring a minimum length, it is certain that hosts at both ends of the network will be able to sense a collision because they detect incoming data before they're done sending.
What bit is flipped when embedding a MAC address in an IPv6 address?	The U/L bit (universal/local bit) is flipped. If the nibble was 0 in the MAC, it will be 2 in the v6 address. It's the second nibble of the address.
Why is the U/L bit flipped when converting from MAC address to IPv6 address?	In MAC address architecture, the 7th bit signifies whether the MAC address was universally or locally assigned.<div>Should a user manually change their MAC address, this 7th bit would be set to 1, indicating the Ethernet address was locally administered.</div>
What was initially not allowed in original RFC950 subnetting?	Subnets of all-zeroes and all-ones.
What are the two purposes of an IPv4 address in the current Internet architecture?	<div>It consists of a host and network part, thus:</div>1. It identifies the host's network interface; and<div>2. it provides the location of the host in a network, thus the network path for routing is known.</div>
What are non-contiguous network masks?	A network mask where the ones are not contiguous from the start. For example 255.0.0.0 is 1111 1111.0000etc, so that is contiguous. But 88.0.0.0 is 0101 1000.0000etc so that is non-contiguous.
How many possible subnet masks are there, when one only allows contiguous masks?	33 (/0, /1, ..., /32)
Are all-zeroes and/or all-ones subnets allowed?	Not in RFC950, but in general yes.
How many networks and hosts are there in a class C with the subnet mask 255.255.255.88?	88=0101 1000. There are three network bits and five host bits. TODO elaborate
What is VLSM?	Variable Length Subnet Masks uses subnets that are not necessarily all of the same size. For example you can have a /8 allocated to some $BigCorp, and it can allocate a /16 to departments, which might have smaller /22 subnets for different purposes or something.<div>In classful routing, one could only have a /8, /16 or /24 (depending on whether you are 1-127.x.x.x, 127-191.x.x.x or 192-224.x.x.x).</div>
What does RIPv1 not support?	VLSM
What is CIDR?	Classless Inter-Domain Routing is the idea to put the division between the network part and host part of addresses on arbitrary bit positions. It uses the / notation (0.0.0.0/0) and obsoletes classful addressing and VLSM.
What is the difference between CIDR and VLSM?	"TODO. Internet says: ""The difference is that with VLSM, the recursion is performed on the address space previously assigned to an organization and is invisible to the global Internet. CIDR, on the other hand, permits the recursive allocation of an address block by an Internet Registry to a high-level ISP, a mid-level ISP, a low-level ISP, and a private organization’s network."" but I'm not sure if this is what Karst wants to hear. (Source:&nbsp;http://www.ccna4.com/2010/06/difference-between-vlsm-and-cidr.html )"
With a network prefix length of 5, what is the first, second, second-to-last and last possible subnet? And what's the CIDR and non-CIDR mask notation (does this have a name?)?	With a prefix length of five, you have five network bits and the rest are host bits (so the network mask is 0b1111 1000.0000 0000.0000 0000.0000 0000).<div>In CIDR this is /5 and in non-CIDR the mask is 248.0.0.0.<div><br /></div><div>The first subnet is 0.0.0.0 (as always), the second subnet sets the last network bit to one so that's 8.0.0.0, the second-to-last subnet has all network bits set to one except the last so 0b11110... is 240.0.0.0, and the last one is 248.0.0.0.<div><br /></div><div>Protip: if the second one is 8.0.0.0 then the second-to-last is 256-8*2 and the third-to-last is 256-8*3.</div></div></div>
What is a common subnet for a point-to-point link?	"/30 gives two host bits or four addresses. Minus the network ID and broadcast address, that leaves two usable addresses. ""But we may start deviating from original concepts"": point to point links may be unnumbered, or we can use a /31 (RFC3021) or two /32s (PPP, RFC1332)."
What is a link? (According to RFC4903/6250)	A topological area within which a packet with an IPv4 TTL or IPv6 Hop Limit of 1 can be delivered. That is, where no IP-forwarding occurs between two nodes.
What is a subnet? (According to RFC4903/6250)	A topological area within which addresses from the same subnet prefix are assigned to interfaces.
What is the difference between a subnet and a link?	Originally they were the same, but later multi-subnet links also turned out to be useful. However, a multi-link subnet should be avoided.
